StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,Archetype
1,Male,Pune,Tier3,Mechanical,Networking,No,Yes,5.41,4.73,4.68,4.64,5.39,5.35,5.12,4.66,4.78,40.0,0,0,1,2,1,49.2,1.9,25.3,61.3,0,Low,Below-Average
2,Female,Mumbai,Tier2,CS,DataScience,No,No,7.68,7.51,7.54,7.48,7.32,7.14,7.47,8.01,7.54,68.9,1,3,1,4,1,57.7,3.6,58.7,67.1,0,Mid,Average
3,Male,Kolkata,Tier3,EE,AI,No,No,4.85,4.13,4.98,5.04,4.64,5.1,4.74,4.41,4.66,69.8,0,1,1,1,0,55.0,2.5,45.3,68.6,1,Low,Below-Average
4,Female,Mumbai,Tier3,Civil,DataScience,No,No,5.28,5.24,5.35,5.26,4.9,5.87,5.01,5.66,5.3,53.7,0,1,0,1,0,35.0,4.5,48.8,36.2,0,Low,Below-Average
5,Male,Hyderabad,Tier1,Civil,AI,No,No,8.27,8.22,8.45,7.6,8.71,8.36,7.71,7.99,8.21,83.9,2,3,4,3,2,87.4,4.3,80.6,65.7,0,High,High-Achiever
6,Female,Kolkata,Tier2,Civil,Networking,No,Yes,6.13,5.9,6.13,5.86,5.64,5.44,6.32,6.15,6.13,81.8,2,2,1,2,1,55.9,2.8,67.5,55.1,1,Low,Specialist
7,Female,Chennai,Tier3,Civil,DataScience,No,No,5.0,4.33,5.52,5.95,5.98,5.07,5.51,4.92,5.05,73.4,1,0,2,1,0,35.4,2.0,26.6,41.2,0,Low,Below-Average
8,Male,Kochi,Tier3,CS,Embedded,No,Yes,5.18,5.7,4.58,5.19,5.29,5.25,5.23,5.47,5.31,65.2,1,1,0,1,0,62.4,3.6,62.5,50.5,1,Low,Below-Average
9,Male,Kolkata,Tier1,CS,Embedded,No,No,8.68,7.95,7.99,9.02,7.66,9.03,8.39,7.9,8.38,85.7,3,4,2,3,1,79.6,4.1,74.4,85.5,0,High,High-Achiever
10,Male,Ahmedabad,Tier2,IT,DataScience,No,No,6.31,6.55,6.73,7.04,7.28,6.54,6.94,6.6,6.56,73.1,2,1,2,1,1,80.3,3.1,72.8,61.3,1,Mid,Average
11,Male,Ahmedabad,Tier2,Civil,AI,Yes,No,6.93,6.96,6.89,7.57,7.26,6.99,7.86,7.02,7.29,68.6,1,2,2,2,1,74.8,3.7,51.6,60.1,1,Mid,Average
12,Female,Delhi,Tier2,Civil,AI,Yes,Yes,5.83,6.54,5.31,6.05,5.81,6.9,5.91,6.39,6.19,61.0,0,2,1,1,1,52.0,3.7,83.5,61.3,0,Low,Specialist
13,Male,Chennai,Tier2,CS,DataScience,Yes,No,6.6,6.54,6.91,7.0,6.87,6.91,7.22,6.64,6.95,66.6,1,4,2,1,0,64.3,3.8,65.6,59.9,0,Mid,Average
